Post,Sentiment,Matched Phobias,Matched Keyword
"hates crying, hates her health (or lack thereof), hates snow, and hates Christmas and its trappings of tomfoolery.  Today has become a day of hate. *angry pout*",Negative,"",""
"*Rootin' around for 'retro' Bev pics*",Neutral,"",""
"Meow meow TIIIIIREDDDD meow meow. *pokes work with stick*",Positive,"",""
"Hopin' I'll sleep tonight! Went from one extreme to the other--sleeping all the time to not sleeping at all. What an unpleasant adventure this is being!",Neutral,"",""
"Surreal night...I think I might've slept and just woke up every hour and lay awake for awhile before falling back asleep again--but conversely, I might've just lain awake and semi-insensible the whole night with periods of more awareness...not sure which!  Either way, I'm tired, but surprisingly decent otherwise!",Negative,"Nyctophobia,Nyctophobia,","night,night,"
"Well, lived through the Carbon Monoxide shit, though it made me sick today--luckily not sick enough to go to the damn hospital I guess; just sick enough to be puking and bedridden today. Good thing I had the day off anyway for MLK day (but my dad didn't tell me that, so I woke up ill and panicky this afternoon--nice, lol). Furnace was fixed today, though, so no more CM troubles, I suppose!",Negative,"",""
"WHEEEEEEEEEEEEEE!!!!!!  (She says as she continues to be nerdy on her couch. :P)  Veggin' can be good when you're having sillyfuntime! :D  ...Takin' a vote though: after cartoons, shall I play arcadey fighters, RPGs, or go old-school?  Narrowed it down that far, but...so hard to choose hehe!",Negative,"",""
"Have good weekend, meine leibschen, yes yes!  I kiss you, muah!  (Me, hausfrau?!  Nein, NEIN!!!)",Positive,"",""
"Ehh...bite me!",Negative,"",""
"""Some of the shows on MTV are not my cup of tea...mainly because I don't like huge pieces of shit in my tea!""",Neutral,"",""
"doesn't get it--even when I get enough sleep, I run out of energy LONG before the day is over...what gives?!  This rampant exhaustion really puts a cramp on my life & times...and now I'm gonna go sleep some more.  Hmph!",Neutral,"",""
"*sigh*",Neutral,"",""
"I try to keep my health complaints to others to a minimum these days, but...well, let's just say FUCK.  Sometimes I feel like being such a survivor is goddamned overrated.",Negative,"",""
"Sleepytime at last!  Bundled up in blankets like fuckin' Jesus inna manger.  Or medieval couples that weren't sposed to fuck yet, lol.  Fuck off, snow!",Neutral,"",""
"So very frustrated...& kinda sad. And so fucking sleepy...god DAMN these meds, I'm sleeping my life away.",Negative,"",""
"MEHHHHHHHHHHHHHHHHHHURRRRRGHHHHHHHH.....",Neutral,"",""
"is ok now.",Neutral,"",""
"Why do I insist on eating popsicles in winter?  OM NOM NOM",Negative,"",""
"The cleaner my apartment gets, the more of my hobbies I get back into (partially because I can find my stuff again, lol!)...YAYYY!  First one to return: gaming.  I might not get back to the rest of those erstwhile hobbies for awhile, though--I tend to get quiiite obsessive about my vidya games, hehe...",Negative,"",""
"It liiiives!!!  (Meds adjusted--we'll see if I stay awake today! *blinkblink*)",Positive,"",""
"*shrug* Eh.",Neutral,"",""
"is trying not to be grumpy.",Negative,"",""
"Ok lady I love you buh-bye! *finally leaves house*",Positive,"",""
"Off to prepare for a night of festivitation...2010 here we come, haharr!",Negative,"Nyctophobia,","night,"
"Getting ready for ma belle *PROPNAME*'s birthday whatnottery...may I not fall asleep face-down in cake this evening!*crosses fingers*",Negative,"",""
"Hangin' with *PROPNAME*...stay awake, stay awake! *pokes self with fork*",Positive,"",""
"Dear car battery: Why are you dead again?  What am I going to do with you?? (No, really--what am I supposed to do with it?)  You make me sad. ://",Negative,"",""
"Hmm...it's hard to play 'find the smell' in your apartment when it's so cold that sniffing the air hurts!  But why the fuck does my place smell like a lawnmower anyway?!",Negative,"",""
"Frisky Dingo makes my chest hurt...with laughing! I need to get Season 2 STAT. Damn, I would PILLAGE for some bourbon chicken right now! Glad *PROPNAME* is finally back in town...good times man! :D",Negative,"",""
"Taken off the troublesome med! Back to Bev as usual now I guess.",Neutral,"",""
"BRRR!  ""Stiff Little Fingers"" indeed!",Negative,"",""
"doesn't know what to think.",Negative,"",""
"Upon taking a brief hiatus from facebook--holy SHIT, too many updates to read! *mind boggles*",Negative,"",""
"just remembered a TV ad from her childhood in the 'glorious' south: horribly fat, hideous ANGELS with big ol' hair, Tammy-Faye-esque makeup, and (of course) heavy southern accents hollering ""DON'T YOU BUY NO UUG-LY TRUUCK!"" Cracked me up then, cracks me up now, HAHA!",Negative,"",""
"Meow?",Neutral,"",""
"Too lazy to scan 'retro' pics right now--fuck it, maybe later. I notice that I pretty much look the same as I have for the past ~15 years (kinda freaky!!)...thus, it's hard to tell what year a photo is from. Oddly enough, my skin was better when I was a teenager than it is now!",Positive,"",""
"Black.",Neutral,"",""
"Well, meds situation is not ideal by any means (zombieish again) but it's a vast improvement on the last few days of horror!",Negative,"",""
"I think I've finally found the right med...this must be what normal people feel like!",Positive,"",""
"I feel pretty spiffy today--befuddling my dad with random comments, doin' my weird acrobatics and dances, singin' wordless nonsense songs...alot better than medicated zombie Bev (though admittedly alot more absurd, LOL)!  Sure spices up the office though haha--as long as I don't careen into the conference table!  :D",Negative,"",""
"Fucking CARBON MONOXIDE alarm's going off repeatedly again tonight! Opened the windows & garage doors; I have nowhere else I can go & I need sleep, so I'm gonna hafta just hope the ventilation is enough cos I don't know what else to do. Hope I don't end up in the hospital over this shit--I'm sick of the damn hospital! (Well...bein' dead would [debatably] suck too. But I wouldn't be self-aware to know about it, lol.)",Negative,"",""
"has been too busy living life to spend much time on facebook this week--just the way I like it! :D",Negative,"",""
"Whew.",Neutral,"",""
"Got to be 'early to rise' tomorrow, so I'ma try to be 'early to bed' tonight...thusly, going to bed now; we'll see how that goes!",Negative,"",""
"is amused at the universe today. *cracks up*",Positive,"",""
"Hm...started the day out feeling ok, but now I feel like three-week-old leftovers molding in the back of a broken fridge in Hell...yes, a Hell-fridge. Guess work doesn't agree with me!",Negative,"",""
"Been trying to catch up on sleep since I pretty much hadn't slept in 3 days...woken up by the Carbon Monoxide alarm, and it's the real deal.  My dad opened the window by the furnace and my living room window and went back to bed, nice.  Hmm...gonna go back to sleep if possible and hope halfheartedly that I'm still alive in the morning.",Negative,"",""
"made it safely to italy :) 22 hour trip lol havent slept one sec the whole time will upload pics of my trip soon and through out the month.",Negative,"",""
"I just saw District 9! Probably one of the best sci-fi movies I have ever seen. I recommend anyone that likes action and a good story to go see this movie!",Very positive,"",""
"On my way to get my license! Don't have a car yet though...lol",Neutral,"",""
"Getting my license finally! lol...you know what they say...2nd time's a charm :P",Positive,"",""
"Leaving for italy tomorrow yay!!!! I will be back on august 6th. wont be able to text till then lol cya!",Neutral,"",""
"Football practice was actually pretty fun. I have no idea how I shaved off almost a minute off of my mile time. I ran a mile in 5:38...I think I'm amazing lol",Negative,"",""
"I think some people need to take life less seriously...",Neutral,"",""
"will be back in the U.S. the 7th. i got a sexy tan at the beach lol",Negative,"",""
"Going to bed. Football practice in the morning...guess who didnt work out like they should have been? ME!!! YAY!!!.....//cry",Negative,"",""
"School! yay :D",Neutral,"",""
"Just got back from the first day of school! Was actually fun except for a few rules. I am looking forward to having fun in every class lol ...and...I'm a SENIOR w00t!",Positive,"",""
"Anybody that has any classes with me know any other homework we had besides english?",Neutral,"",""
"People need to take a breather and chill once in a while and not let the little nuisances of life get to their heads... we only have one life and there is not point to wasting it being angry about nothing...",Negative,"",""
"w00t go huskies!",Neutral,"",""
"The fair was really fun today. I was trying to get hypnotized when my phone went off right next to me...booo",Negative,"",""
"Good god the volleyball game was amazing! Congratulations to all the players for a great game! btw I would also like to add that our cheering tonight was crazy for only like 10 kids lol",Negative,"",""
"meh idk if im gonna do anything for tomorrows dressup day. I dont have any old people clothes :\",Negative,"",""
"What homework did we have today, if any?",Positive,"",""
"Anybody have pictures of jordan and I from todays spirit day?",Positive,"",""
"w00t got my license! Yay now I can drive my non existent car haha",Neutral,"",""
"is happy for school to start :D",Positive,"",""
"Homecoming was amazing! I had so much fun lol Here's hoping for a fun fright fest :)",Positive,"",""
"HA! who new that you cant take your driving test without proof of insurance!? Silly me.... -_-' ugh now I have to take it next week wednesday...yay",Neutral,"",""
"Why is it soo cold?! Damn you winter lol",Negative,"",""
"Let me know if you think of everyone meeting at my house and then heading out to the vollwyball game in costumes and then all heading back to my house for the party is a good idea :)",Negative,"",""
"OMG fright fest was sooo fun even though it was FREEZING! :D I recommend the next time anyone rides a roller coaster to go with your eyes closed...so scary lol",Negative,"",""
"Maybe we will also go out as a huge goup and trick-or-treat :) If you need directions just ask me in a message.",Negative,"",""
"Alright i'm trowing a Halloween costume party at my house on Saturday the 31st. There will be music, games, scary movies and my mom's food! Dont be too extravagant with your costumes, anything simple will do :) If you dont ""dress up"" people are going to paint your face any way they like lol. You can come anytime in the afternoon after 6 p:m.",Negative,"",""
"OMG what topic should I write my persuasive speech on?!",Positive,"Glossaphobia,","speech,"
"Off to football :)",Neutral,"",""
"hello world i am alive and happy again :)",Positive,"",""
"Hurt my leg today. Might have a stress fracture not sure yet. I can walk on my leg but it HURTS lol anyways cant wait to see the volley ball game! The Halloween party is still on tonight at my house. I live like 10 mins away from chief leschi so transportation shouldnt be that big of a problem",Negative,"",""
"Everyone, i have a confession to make.  I have turned bisexual, and am now a tranny.",Negative,"",""
"wOOt i'm 18 and loving it :D",Positive,"",""
"Just went to a sushi bar by my house for my birthday and it was delicious :D",Positive,"",""
"Well now that i'm 18 i have to be careful or i could go to big boy jail lol",Neutral,"",""
"MERRY CHRISTMAS!",Positive,"",""
"omg I just started out on P90X...my first day and it kicked my ass! lol these are gonna be a fun 90 days :)",Negative,"",""
"I feel right now as if I can't get a hold of anything....like everything is so far away but so close at the same time...just out of my reach. I want to do something about it, I want to say things, I want to do things....but I don't know where to start. Maybe I'm thinking too much into it...maybe the answer is easy and simple...If only...",Negative,"",""
"I just got my new phone and it refuses to copy all my contact info from the SIM to the phone so if I had your number please send me it. Thanks :)",Negative,"",""
"This...day...is...so...slowwwwww",Positive,"",""
"Yay, left my phone, wallet, keys and my FREAKING ALTOIDS on the bus lol anyways gratz kurbis on being a grandpa :)",Negative,"",""
"Keep voting till your fingers bleed dammit!",Negative,"",""
"KEEP VOTING!",Positive,"",""
"w00t polls are closed, we won, and I'm getting a freaking cake!",Very negative,"",""
"http:////www.q13fox.com//videobeta//watch//?watch=0766bc7f-d0bf-481b-98b5-139cbefddafa&src=front This is the link to the video highlights of the girls game last night. The girls game is at the end.",Positive,"Nyctophobia,","night,"
"omfg facebook, I don't give a shit about who joined what group or who became a fan of...whatever! Lame lame lame...",Negative,"",""
"Thanks markelle for making my super bowl ""party"" a lot more entertaining than it would have been....oh and the dollar I won from you was a pretty sweet victory  haha :P",Positive,"",""
"108. Nearly in double digits.",Neutral,"",""
"157",Neutral,"",""
"*has to call the helpdesk for my mobi carrier* to do that I have to charge my phone and to do that I need to find an adaptor. *sigh* why is this holiday so complicated. If it's not one thing that's gone missing, it's another. Or not knowing something that",Negative,"",""
"168. That's it.",Neutral,"",""
"Is nearly ready to say flipside to Egypt. Just got a Hard Rock Cafe to go :S PS: Still doesn't like anything alcoholic.",Negative,"",""
"*loves the irony* I've been fine for months... Today I feel like Death warmed up... I leave in 13 hours. :S",Negative,"Necrophobia,","Death,"
"has access to money again. Unfortunately, it appears to have cost him his typing skills :P",Negative,"",""
"Knows two things about travelling if nothing else. (1) Make sure to have atleast two account cards when you leave home. (2) Make sure to have booked everything before you need it so you don't end up getting stuck in one place longer than you wanted.  And I think I may know why my card didn't work yesterday... gonna try it out tomorrow if I can.",Negative,"",""
"*is in Brunei without a mobile containing international roaming* stupid people who I asked to set it up for me months and months ago... Maybe it's just in the airport though... Hope so.",Negative,"",""
"was really stressing about Visas and stuff for his 6 week vacay... But is no longer after speaking to people and doing stuff, he feels that his holiday should go fairly fine.",Negative,"",""
"is with rellies... has three days.. is wondering who'll he'll meet next. in UK",Neutral,"",""
"why does the only major change on the German keyboard *have* to be a 'Y' 'Z' swap? I use the letter y so often. it's annoying.",Negative,"",""
"waaa! It's like only a week until I'm home now... Which means work... Anyone wanna buy my love? :P Nah... you probably couldn't afford me anyway.",Negative,"",""
"60.5... Cogito ergo es.",Negative,"",""
"I wonder if my parents will be able to book my flight before I need to get on it.",Positive,"",""
"Athens (Athina) is pretty cool. Even though I've not yet strayed more than 500m from my hotel :P Here til Friday then Germany gets to see me :S",Negative,"",""
"Aswan, Egypt. Nuff said.",Positive,"",""
"is wondering why he seems to manage to lose everything that he needs to keep a hold of?",Negative,"",""
"is nearing the end of his time in Egypt. Watch out Europe because here I come.",Positive,"",""
"Do you know that 10 minutes equals 72 hours?",Neutral,"",""
"Who's up for racing around Perth with me?",Neutral,"",""
"came Fourth in the Race Around Perth today. is super happy about that.",Neutral,"",""
"Forgot about the Berlin Atheltics occuring this week :S Still. I have a room and it finished with the marathon today so it won't be a problem any more.",Negative,"",""
"I should just dry my hair and get the torture over with already. :P",Negative,"",""
"my jacket it falling to pieces. But other than that, I'm on track to finish my outfit in time for the con. :P",Negative,"",""
"I knew I shoulda scrapped my cosplay hours ago and claimed the sleep. my mum just laughed at me. Gyah!!!!!",Negative,"",""
"If my maths is correct, I should have a touch over $3500 to -SPEND- in Japan. That's after airfares, accom, JR pass and possibly some//most activities... but before buying my ticket to the Studio Ghibli Museum. Whooot!",Negative,"",""
"is serverely disappointed about what he just learnt.",Negative,"",""
"is a baller.",Neutral,"",""
"cannot get enough of ""The Sweet Breathing of Plants.""  Everyone should read it.  Everyone.",Neutral,"",""
"is a salmonberry-making pie fool.",Negative,"",""
"Todays flight will being heading from Minneapolis-St. Paul International Airport to Dever International Airport. Our approximate time in the air will be about two hours and thirty minutes reaching an altitude of 35,000 feet (Flight level 350). I'd like to personally thank you for flying Frontier Airlines. Flight attendants, prepare for take off.",Negative,"Pteromerhanophobia,","flying,"
"I am being called to be a man of the cloth. But is that what I will be happy doing? God or the girl?",Negative,"",""
"""Make sure your seat-backs and trays are in their up-right and lock positions and thank you for flying American Airlines. Flight attendants...prepare for take off.""",Positive,"Pteromerhanophobia,","flying,"
"Just a lazy day on the lake...if only the rain would stop so I could go out on the lake.",Negative,"",""
"Give a man a fish, and you'll feed him for a day; give him a religion, and he'll starve to death while praying for a fish. ~Author Unknown",Positive,"Necrophobia,","death,"
"Can I possibly love her?",Neutral,"",""
"We remember...we believe. Have you forgotten how you felt that day, when your homeland was under fire, and your people blown away? ...In a crowded room do you feel alone? Faith, hope, and love, are some good thing He gave us, but the greatest is love.",Negative,"Agoraphobia,","crowded,"
"Sometime the military [Air Force] isn't really smart about money.",Negative,"",""
"God is more interested in what we are than what we do. That's why we're called human beings, not human doings. ~Thanks Vocation Boom",Positive,"",""
"""Cheese is the Devil's plaything.""",Neutral,"",""
"Why do we give people titles because of what they do and not who they are? This is what bothers me, but maybe I'm just waiting for a world that sees people not for what they do but who they are.",Negative,"",""
"Just played and sang a buch of Chirstmas music for a General of the United Sates Air Force's reception. There were so many ""big-wigs"" there and it was a blast. Not to mention there was a cute girl bartending...great night.",Negative,"Nyctophobia,","night,"
"The Monastery of Our Lady of the Holy Spirit in Conyers, Georgia was so beautiful. There is nothing like waking up at 4 o'clock for vigils, a morning prayer prayed in the Liturgy of the Hours. Then have lauds mixed with Mass...beautiful!",Negative,"",""
"""We are waiting, hopeful anticipation, we are waiting, come Lord come..."" I can almost hear the Hallelujah chorus from Handel's Messiah!",Neutral,"",""
"One and a half how drive in unplowed interstate roads at 0330 hrs., deicing of a plane, take off, crusing at flight level 330, tiny airplane...but at least I am headed to 80 degree weather. The temperature in Denver is 6 degrees. Brr",Negative,"",""
"We have seen them wear purple for four Sundays, maybe even rose for one of those Sundays. We have prepared our heart, mind, and soul. We now await for His coming... ""O Emmanuel, king and lawgiver, desire of the nations, Savior of all people, come and set us free, Lord our God.""",Negative,"",""
"Seventh day of Christmas!!! I still hear the church bells ringing and Handel's Hallelujah Chorus!! Glory to God in the highest and on earth peace to all good men!!!",Negative,"",""
"""Flight attendants cross check and prepare for landing."" ""Welcome to Tampa, Flordia where the local time is 3:50 PM and a comfortable 68 degrees.""",Negative,"",""
"""The star burnned like a flame, pointing the way to God, the King of kings; the wise men saw the sign and brought their gifts in homage to their great King.""  ""Seeing the star, the wise men said: This must signify the birth of some great king. Let us search for him and lay treasures at his feet: gold, frankincense, and myrrh.""",Positive,"",""
"""...For you, my child, shall be called the prophet of the Most High for you will go before the Lord to prepare his wayto give his people knowledge of salvation...""",Negative,"Acrophobia,","High,"
"got his permit.",Positive,"",""
"has the flu and is under quarantine.  No school, no computer.  Stuck in bed.",Positive,"",""
"has beat the new Kingdom Hearts, and based on when the other games came out relative to Japan, the new one should probably be out in April or May.",Positive,"",""
"I'm flu free. Anyone wanna do something, cause i'm really bored.",Negative,"",""
"is losing his fricken voice.",Negative,"",""
"""Friends, you shall drip rubies. You'll soon drip precious rubies.""",Neutral,"",""
"got Brutal Legend.",Positive,"",""
"found his wallet.",Neutral,"",""
"is losing his fricking voice.",Negative,"",""
"is completely disappointed with the *PROPNAME* movie.",Negative,"",""
"Facebook has agreed to let third party advertisers use your posted pictures WITHOUT your permission. Click on SETTINGS up at the top where you see the Logout link. Select PRIVACY. Then select NEWSFEEDS and WALL. Next select the tab FACEBOOK ADS. There is ",Negative,"",""
"thanks 4 all d greetings guys.. did have a happy birthday :) hope all of you have a good day",Positive,"",""
"another day.. another chance.. Good day everyone :)",Positive,"",""
"Negative A blood urgently for a little girl at the Rainbow ward suffering from a stomach tumour. Could you please make an announcement at your respective lists to see if anyone could donate. This is a rare blood group. If you have anyone, they need to urg",Negative,"Hemophobia,Hemophobia,","blood,blood,"
"wow *PROPNAME*.. i gotta steal this from you for those friends of mine who are not in your list: ""Fight for it! Don’t give up no matter how hopeless it seems right now, even when you’ve lost hope and angry, because years from now your gonna look back and wish you gave it one more shot -BECAUSE THE BEST THINGS DONT COME EASY""",Neutral,"",""
"i'm amazed :)",Neutral,"",""
"Prayers needed for 12yr old boy who, after a serious car crash, is now in a critical coma. Pls. change your status for 1 hr so more people can become aware and add to the prayers. We would do it for your son or relative, pls. do this for somebody else's son. Thank you. Pls copy this and paste..",Negative,"",""
"""minds are like parachutes - they only function when open"" *PROPNAME*",Neutral,"",""
"stop and think...",Neutral,"",""
"""Those great hopes and dreams and ideals of yours are not dead, if you let God breathe into them the breath of fresh life."" - *PROPNAME* RT *PROPNAME*",Positive,"",""
"""if you accept defeat, then that's what you'll get"" - from Facing The Giants",Neutral,"",""
"""The best mind-altering drug is truth."" - *PROPNAME*",Positive,"",""
"anyone knows of an interesting//good job guys?",Positive,"",""
"wherever you go, whatever you do.. do so whole-heartedly",Neutral,"",""
"very tired.. happy with work done.. but still so much more to do!",Neutral,"",""
"""oye, piensa en tu futuro, no pierdas mas tempo... es muy importante mirar para adelante"" wonderful artist.. great song.. wonderful message :)",Positive,"",""
"great weekend so far: friday enjoyed meeting wonderful ppl I had not seen for a long time.. yest night wonderful time in malta.. now realllyyyy looking forward to later on today :) (will get working to finish work asap & enjoy my sunday afterwards)",Neutral,"Nyctophobia,","night,"
"the weekend.. & why not the weekstart? looking forward to start the week in a great way :)",Neutral,"",""
"FACEBOOK EXPERIMENT: If you're reading this,whether we do or don't speak very often, please post a comment of your first memory of you & me. When you're finished, post this paragraph in your status; you'll be surprised what people remember about you!",Negative,"",""
"woww! soo busy.. but working to create some time to relax during this weekend :)",Neutral,"",""
"gotta assume your responsibility and move forward.. get going!",Negative,"",""
"listening to some rock while preparing lessons! great mix ee!",Neutral,"",""
"a good weekend.. this week's busy (kumbinazjoni!) imma ghaddejjin bil-momentum & looking forward to the future :)",Neutral,"",""
"never thought I'd be jealous of a fish in an aquarium! only for a sec tho! lol",Negative,"",""
"life is a not-so-easy mountain climb.. but woww.. the view is amazing!",Positive,"",""
"have a merry christmas, un joyeux noel, un buon natale, feliz navidad u il-Milied it-tajjeb! for all of you who don't celebrate Christmas, may you have a great day full of peace and happiness :)",Positive,"",""
"Happiness comes only by sharing - Napoleon Hill... & starting holidays helps as well I guess ;)",Negative,"",""
"preparing exam papers!! Vive les vacances!!!",Negative,"",""
"Dear God, I pray for the cure of cancer! ? (93% of fb users will not copy & paste this)....if you know someone who had cancer or fighting cancer please paste this to your status",Negative,"",""
"great ending to 09 and awesome beginning of 2010! :) have a very happy new year all",Positive,"",""
"rainbow colours!!! x'izzik uu dal-kuluri kollha minand nies differenti aaa?? jw jin biss ma nafx? lol",Negative,"",""
"why do i have to keep facing the only people who I can't stand: liars & double-faced people?? Well, I guess that's part of life :(",Negative,"",""
"last work for 2009 ready!! now starting my nye :) have a very happy new year all.. may it bring you all that you wish for",Positive,"",""
"Never get so busy making a living that you forget to make a life",Negative,"",""
"The LAST GOOD DEED of the MALTESE Lira .....(2) If you have any Maltese coins, you can kindly donate them to YMCA; Ask your family & friends to donate their Maltese coins, Spread the word by emailing this text and//or using FB through status or messaging friends. Only 11 days to collect all the money as then the Maltese coins will not be valid. Call YMCA on 21228038 or email roberta.ymca@gmail DEADLINE 1ST FEBRUARY",Negative,"",""
"1st day new job.. jidher nice.. & woww, it was destiny! used to want to do this job but then thought I wouldn't end up doing this!!",Negative,"",""
"it's true.. ""the best things don't come easy"".. what I can't understand is why you'll always find someone who tries to f**k it all up",Negative,"",""
"Go to urbandictionary.com, type in your first name, copy and paste this as your status, and put the first entry for your name under comments.",Positive,"",""
"already at the end of 2nd week at st.albert's.. so far so good.. im enjoying it :)",Neutral,"",""
"work 9-3 then going to see Pirate Radio with *PROPNAME*!",Negative,"",""
"going my brothers paper route again, french class, work 3:30 to close and then home where I plan to collapse.",Negative,"",""
"so sleepy and cold, class til 7:30 and then to *PROPNAME*'s for the night",Negative,"Nyctophobia,","night,"
"Thank you everyone for the birthday wishes!!!",Positive,"",""
"work 9-3:30 then getting my nails done and possibly my hair",Neutral,"",""
"at school til 7:30 then home where I will hopefully get to watch ANTM from last night",Negative,"Nyctophobia,","night,"
"school until 7:30 then home to see *PROPNAME*. Happy Anniversary!",Negative,"",""
"Je deteste le francais.",Negative,"",""
"I do not enjoy being awake early. School and then work.",Positive,"",""
"work 9 to 3:30 then errands, then the movies with Alex.",Negative,"",""
"I'm eating a bagel. Does anyone care? Probably not. School until 7:30",Negative,"",""
"My God, I just got so much homework done. I should not have class everday.",Positive,"",""
"Work 9-2 then  going to see Where the Wild Things Are with *PROPNAME* :)",Neutral,"",""
"research, homework, french class, work, *PROPNAME*",Positive,"",""
"the spaces between my fingers are where yours fit perfectly :) School til 7:30",Negative,"",""
"work 9-close",Neutral,"",""
"research, school until 7:30 and then *PROPNAME*'s house",Negative,"",""
"Research meeting, french, and then work 3:30 to close, alone with Becky. :(",Positive,"",""
"Research and work 3:30 to close",Neutral,"",""
"boo for no halloween parties",Negative,"",""
"work 9:30 to close. Happy Halloween!",Neutral,"",""
"In the lab finishing up my human sexuality paper (hopefully), then french class at 12:50 and then work 3:30 to close.",Negative,"",""
"Reasearch, French class, work and then finally *PROPNAME*",Positive,"",""
"un examen francais and then work 3:30 to close and then studying for my quiz tomorrow.",Negative,"",""
"Signed up for winter classes. I only have two psych classes and directed research study. Next semester is going to be great!",Neutral,"",""
"I have to write a six page peper on women's pornography use, then class from 4:00 til 7:30 and then *PROPNAME*'s house for the night.",Negative,"Nyctophobia,","night,"
"today is my day off! Going to *PROPNAME*'s to sort is comics and then maybe see A Cristmas Carol",Neutral,"",""
"French class and then work. Bad, bad day.",Positive,"",""
"School til 7:30 then home to see *PROPNAME*",Negative,"",""
"cognitive psych test and then alex's for the night",Negative,"Nyctophobia,","night,"
"Making baked apples with a cocoa butter filling and creme angliase. Hopefully they're good.",Negative,"",""
"off to find food somewhere on campus",Neutral,"",""
"homework and room cleaning then watching lord of the rings with *PROPNAME*",Negative,"",""
"Research, tea at Freer house, colloquia lecture, three classes and then finally to *PROPNAME*'s for the night. The only thing making this day better is that I get free food.",Negative,"Nyctophobia,","night,"
"Research at 12 and then classes after til 7:30 and then finally *PROPNAME*'s house for the night!",Negative,"Nyctophobia,","night,"
"I have to be back to work in less than twelve hours",Neutral,"",""
"only one more class and then it's the weekend!",Positive,"",""
"work 9 to close",Neutral,"",""
"Home! Time to clean up and decorate the christmas tree.",Positive,"",""
"*PROPNAME*'s?",Neutral,"",""
"doing my brothers paper routes, then french class, then work, then finally home",Positive,"",""
"Working 11-close then going to the movies with *PROPNAME*, either to see The Men Who Stare at Goats or Christmas Carol",Negative,"",""
"bad mood. I'm going to punch someone in the face.",Neutral,"",""
"Working in the lab, french oral exam, and then going to TAc becuase they're still charging me even though my membership should have ended in October.",Negative,"",""
"it's 6:30 and I already want to go to sleep.",Negative,"",""
"Going to my meme's to decorate her Christmas tree, then hanging out with *PROPNAME*. Maybe making some cookies tonight?",Negative,"",""
"working 10-close and then maybe the movies again?",Neutral,"",""
"research, psych quiz, homework, cog psych, and then *PROPNAME*'s for the night.",Positive,"Nyctophobia,","night,"
"Work 11-close and then going to see New Moon with *PROPNAME*! I can't wait!",Negative,"",""
"research, poster day, french class (je deteste), work 3:30 to close, then finally home. Long day today.",Positive,"",""
"out for the night i guess",Neutral,"Nyctophobia,","night,"
"One final down, two to go :)",Neutral,"",""
"research, un examen francais, work, and then home for the night.",Very negative,"Nyctophobia,","night,"
"this is just not my week",Negative,"",""
"research meeting, school until 7:30, then *PROPNAME*'s house.",Negative,"",""
"work 10 to close",Neutral,"",""
"Two finals today then over to *PROPNAME*'s for the night.",Negative,"Nyctophobia,","night,"
"Guess whose place of work got broken into last night? That's right, mine.",Neutral,"Nyctophobia,","night,"
"Christmas tea with the females of  my mom's family, then home to bake cookies. Maybe out later.",Negative,"",""
"Research meeting and then home to study for finals. *PROPNAME*'s house later.",Positive,"",""
"French 12:50 to 2:40 and then work 3:30 to close.  I seriously wish I could just skip all of it.",Positive,"",""
"Happy Thanksgiving!!!",Neutral,"",""
"Research, decorating Christmas cookies, work 4-close and then *PROPNAME*'s for the night.",Negative,"Nyctophobia,","night,"
"Research, french class, and then possibly work? I don't know, no one told me!",Positive,"",""
"baking pies and cleaning the house before going to a *PROPNAME* family Christmas party!",Negative,"",""
"So many cookies haha",Neutral,"",""
"Running some errands maybe, cleaning my room and then playing band hero",Negative,"",""
"Research and then french class with awesome taped together glasses. Woo.",Positive,"",""
"Going back to sleep!",Neutral,"",""
"studying for my french oral exam (hopefully my partner shows up), research, class til 7:30 and then *PROPNAME*'s house for the night.",Negative,"Nyctophobia,","night,"
"I can't get into farmville :(",Negative,"",""
"golf and alcohol don't mix and that's why I don't drink and drive- work 3:30 to close and then the movies with *PROPNAME*",Negative,"",""
"Research, classes til 7:30 and the to *PROPNAME*'s house to watch So You Think You Can Dance and Chopped.",Negative,"",""
"mac and cheeeeese",Neutral,"",""
"sleepy time",Neutral,"",""
"studying and then work 3:30 to close",Neutral,"",""
"work 10-close and then home becuase I'm going to smell from the 450 pieces of bacon we have to make :(",Negative,"",""
"I have to run errands but it's cold outside so I really don't want to.",Negative,"Agoraphobia,","outside,"
"work from 10 to 10",Neutral,"",""
"work 10-8 and then *PROPNAME*'x for the night",Negative,"Nyctophobia,","night,"
"Cleaning the house and getting a haircut. *PROPNAME*'s over later for Christmas Eve.",Negative,"",""
"Merry Christmas!!!",Neutral,"",""
"work from 11:30 to 10. Long day.",Neutral,"",""
"Research, bank, home",Neutral,"",""
"class, research, class, home",Positive,"",""
"going to see Crazy Heart ad go out to dinner in Royal Oak",Neutral,"",""
"volunteering and then lab time and then running errands.",Negative,"",""
"Research and more research and then work 3:30 to 11:00 where I will probably work on more research",Negative,"",""
"waiting for *PROPNAME* to get out of school. I should probably do something productive with my time.",Neutral,"",""
"school til 5-ish then home to work on some homework",Neutral,"",""
"is a female who has the body of a goddess and the brain of a genius. Men are drawn to her good looks and her awsome sense of humour. Out of all the females in the world its the Erins who rule. (urban dictionary)",Positive,"",""
"working out, Target, and the starting the immense amount of reading I have to do.",Positive,"",""
"colloquia with lunch, research stuff, and then home to clean my room",Negative,"",""
